ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
518,pull,2017-04-05 21:38:00,asf github,['liop']
519,request,2017-04-05 21:38:00,asf github,['request']
520,make,2017-04-05 21:38:00,asf github,['pull']
521,commit,2017-04-05 21:38:00,asf github,['request']
522,commit,2017-04-05 21:38:00,asf github,['request']
523,close,2017-04-05 21:38:00,asf github,['change']
524,fix,2017-04-06 07:40:00,claus ibsen,['fix']
525,pull,2017-04-06 07:48:00,asf github,['pull']
526,request,2017-04-06 07:48:00,asf github,['pull']
527,pull,2017-04-06 09:04:00,asf github,['igarashitm']
528,request,2017-04-06 09:04:00,asf github,['pull']
529,pull,,asf github,['igarashitm']
530,request,,asf github,['pull']
531,pull,2017-04-06 11:48:00,asf github,['onders86']
532,request,2017-04-06 11:48:00,asf github,['pull']
533,add,2017-04-06 11:48:00,asf github,['request']
534,update,2017-04-06 11:48:00,asf github,['deprecation']
535,fix,2017-04-06 11:48:00,asf github,['case']
536,work,2017-04-06 11:48:00,asf github,['work']
537,merge,2017-04-06 11:48:00,asf github,['issue']
538,pull,2017-04-06 11:48:00,asf github,['onders86']
539,request,2017-04-06 11:48:00,asf github,['pull']
540,pull,2017-04-06 11:48:00,asf github,['onders86']
541,apply,2017-04-06 11:48:00,asf github,['review']
542,patch,2017-04-06 11:48:00,asf github,['change']
543,close,2017-04-06 11:48:00,asf github,['change']
544,pull,2017-04-06 11:48:00,asf github,['onders86']
545,request,2017-04-06 11:48:00,asf github,['pull']
546,make,2017-04-06 11:48:00,asf github,['pull']
547,commit,2017-04-06 11:48:00,asf github,['request']
548,commit,2017-04-06 11:48:00,asf github,['request']
549,close,2017-04-06 11:48:00,asf github,['change']
550,commit,2017-04-06 11:48:00,asf github,['request']
551,add,2017-04-06 11:48:00,asf github,['request']
552,update,2017-04-06 11:48:00,asf github,['deprecation']
553,fix,2017-04-06 11:48:00,asf github,['case']
554,work,2017-04-06 11:54:00,,['work']
555,work,2017-04-06 11:54:00,,['work']
556,think,2017-04-06 11:54:00,,['ticket']
557,need,2017-04-06 11:54:00,,['ticket']
558,need,2017-04-06 11:54:00,,['ticket']
559,think,2017-04-06 11:54:00,,['ticket']
560,pull,2017-04-06 20:35:00,asf github,['onders86']
561,request,2017-04-06 20:35:00,asf github,['pull']
562,fix,2017-04-06 12:01:00,atlassian jira,['burgazzoli']
563,implement,2017-04-06 12:01:00,atlassian jira,['pingcheck']
564,work,2017-04-07 12:24:00,camel11118,['work']
565,affect,2017-04-06 13:28:00,ayush dixit,['component']
566,take,2017-04-06 13:28:00,ayush dixit,['camel']
567,try,2017-04-06 13:28:00,ayush dixit,['logger']
568,comment,2017-04-06 15:11:00,,['comment']
569,fix,2017-04-06 15:11:00,,['fix']
570,work,2017-04-06 15:12:00,,['work']
571,pull,2017-04-06 15:41:00,asf github,['lburgazzoli']
572,request,2017-04-06 15:41:00,asf github,['request']
573,merge,2017-04-06 15:41:00,asf github,['infinispan']
574,pull,2017-04-06 15:41:00,asf github,['lburgazzoli']
575,request,2017-04-06 15:41:00,asf github,['request']
576,pull,2017-04-06 15:41:00,asf github,['lburgazzoli']
577,apply,2017-04-06 15:41:00,asf github,['review']
578,patch,2017-04-06 15:41:00,asf github,['change']
579,close,2017-04-06 15:41:00,asf github,['change']
